ID,Name,City,Country,Award,Source List,Cuisine\
1,8 1/2 Otto e Mezzo BOMBANA,Macau,China,5-Star,Forbes Travel Guide,N/A\
2,Addison Restaurant,San Diego,United States,5-Star,Forbes Travel Guide,N/A\
3,Alain Ducasse at Morpheus,Macau,China,5-Star,Forbes Travel Guide,N/A\
4,Alinea,Chicago,United States,5-Star,Forbes Travel Guide,N/A\
5,Amber,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
6,Atelier Crenn,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
7,Aubergine at L'Auberge Carmel,Monterey,United States,5-Star,Forbes Travel Guide,N/A\
8,Aurora,Macau,China,5-Star,Forbes Travel Guide,N/A\
9,Benu,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
10,Blue by Eric Ripert,Cayman Islands,Cayman Islands,5-Star,Forbes Travel Guide,N/A\
11,Bo Innovation,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
12,Caprice,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
13,Cara,Rhode Island,United States,5-Star,Forbes Travel Guide,N/A\
14,Caruso's,Santa Barbara,United States,5-Star,Forbes Travel Guide,N/A\
15,Chef Tam's Seasons,Macau,China,5-Star,Forbes Travel Guide,N/A\
16,Coast,Rhode Island,United States,5-Star,Forbes Travel Guide,N/A\
17,Daniel,New York City,United States,5-Star,Forbes Travel Guide,N/A\
18,Dinner by Heston Blumenthal Dubai,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
19,Don Alfonso 1890,Macau,China,5-Star,Forbes Travel Guide,N/A\
20,The Eight,Macau,China,5-Star,Forbes Travel Guide,N/A\
21,Eleven Madison Park,New York City,United States,5-Star,Forbes Travel Guide,N/A\
22,Five Foot Road at MGM COTAI,Macau,China,5-Star,Forbes Travel Guide,N/A\
23,The French Laundry,Napa,United States,5-Star,Forbes Travel Guide,N/A\
24,Gabriel Kreuther,New York City,United States,5-Star,Forbes Travel Guide,N/A\
25,Gaddi's,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
26,Golden Flower at Encore Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
27,Harrimans Grill,Northern Virginia,United States,5-Star,Forbes Travel Guide,N/A\
28,Herons,Raleigh-Durham,United States,5-Star,Forbes Travel Guide,N/A\
29,The Huaiyang Garden,Macau,China,5-Star,Forbes Travel Guide,N/A\
30,Imperial Court at MGM MACAU,Macau,China,5-Star,Forbes Travel Guide,N/A\
31,The Inn at Little Washington,Northern Virginia,United States,5-Star,Forbes Travel Guide,N/A\
32,Jade Dragon,Macau,China,5-Star,Forbes Travel Guide,N/A\
33,Jean-Georges Philadelphia,Philadelphia,United States,5-Star,Forbes Travel Guide,N/A\
34,Jean-Georges,New York City,United States,5-Star,Forbes Travel Guide,N/A\
35,Jo\'ebl Robuchon,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
36,Kai Restaurant,Phoenix,United States,5-Star,Forbes Travel Guide,N/A\
37,The Krug Room,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
38,Lautrec at Nemacolin,Laurel Highlands,United States,5-Star,Forbes Travel Guide,N/A\
39,Le Bernardin,New York City,United States,5-Star,Forbes Travel Guide,N/A\
40,Le Cirque Las Vegas,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
41,L'Envol,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
42,Les Amis,Singapore,Singapore,5-Star,Forbes Travel Guide,N/A\
43,La Mer,Oahu,United States,5-Star,Forbes Travel Guide,N/A\
44,Lung King Heen,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
45,Mandarin Grill + Bar,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
46,Mar\'eda Dolores,Cancun,Mexico,5-Star,Forbes Travel Guide,N/A\
47,Masa,New York City,United States,5-Star,Forbes Travel Guide,N/A\
48,Mesa by Jos\'e9 Avillez,Macau,China,5-Star,Forbes Travel Guide,N/A\
49,Mizumi at Wynn Palace Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
50,Mugen,Oahu,United States,5-Star,Forbes Travel Guide,N/A\
51,NAOE,Miami,United States,5-Star,Forbes Travel Guide,N/A\
52,Nouvelle Epoque,Tokyo,Japan,5-Star,Forbes Travel Guide,N/A\
53,The Ocean Room,Charleston,United States,5-Star,Forbes Travel Guide,N/A\
54,Olivella,Ojai,United States,5-Star,Forbes Travel Guide,N/A\
55,Ossiano,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
56,Palace Garden,Macau,China,5-Star,Forbes Travel Guide,N/A\
57,Pearl Dragon,Macau,China,5-Star,Forbes Travel Guide,N/A\
58,Per Se,New York City,United States,5-Star,Forbes Travel Guide,N/A\
59,The Restaurant at JUSTIN,Monterey,United States,5-Star,Forbes Travel Guide,N/A\
60,Restaurant Guy Savoy,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
61,Robuchon au D\'f4me,Macau,China,5-Star,Forbes Travel Guide,N/A\
62,Row on 45,Dubai,United Arab Emirates,5-Star,Forbes Travel Guide,N/A\
63,Saison,San Francisco,United States,5-Star,Forbes Travel Guide,N/A\
64,SingleThread Farms Restaurant,Sonoma,United States,5-Star,Forbes Travel Guide,N/A\
65,Sushi Mizumi,Macau,China,5-Star,Forbes Travel Guide,N/A\
66,SW Steakhouse at Wynn Palace Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
67,Tenmasa at Altira Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
68,Tin Lung Heen,Hong Kong,China,5-Star,Forbes Travel Guide,N/A\
69,Twenty-Eight Atlantic,Cape Cod,United States,5-Star,Forbes Travel Guide,N/A\
70,Victoria & Albert's,Orlando,United States,5-Star,Forbes Travel Guide,N/A\
71,Waku Ghin,Singapore,Singapore,5-Star,Forbes Travel Guide,N/A\
72,The White Barn Inn Restaurant,Coastal Maine,United States,5-Star,Forbes Travel Guide,N/A\
73,Wing Lei at Wynn Las Vegas,Las Vegas,United States,5-Star,Forbes Travel Guide,N/A\
74,Wing Lei at Wynn Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
75,Yamazato Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
76,Ying at Altira Macau,Macau,China,5-Star,Forbes Travel Guide,N/A\
77,Y\'ed,Macau,China,5-Star,Forbes Travel Guide,N/A\
78,Zi Yat Heen,Macau,China,5-Star,Forbes Travel Guide,N/A\
79,Zuicho,Macau,China,5-Star,Forbes Travel Guide,N/A\
80,Ai Fiori,New York City,United States,4-Star,Forbes Travel Guide,N/A\
81,Aqueous at Nemacolin,Laurel Highlands,United States,4-Star,Forbes Travel Guide,N/A\
82,Armani/Ristorante Dubai,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
83,Atlantis Steakhouse,Reno,United States,4-Star,Forbes Travel Guide,N/A\
84,Atlas Buckhead,Atlanta,United States,4-Star,Forbes Travel Guide,N/A\
85,At.mosphere Restaurant,Dubai,United Arab Emirates,4-Star,Forbes Travel Guide,N/A\
86,The Aubrey,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
87,Aurelia at Castle Hill,Rhode Island,United States,4-Star,Forbes Travel Guide,N/A\
88,Bacchanalia,Atlanta,United States,4-Star,Forbes Travel Guide,N/A\
89,The Belvedere,Los Angeles,United States,4-Star,Forbes Travel Guide,N/A\
90,Blue Hill at Stone Barns,Hudson Valley,United States,4-Star,Forbes Travel Guide,N/A\
91,Bourbon Steak Orange County,Orange County,United States,4-Star,Forbes Travel Guide,N/A\
92,Cane & Canoe,Maui,United States,4-Star,Forbes Travel Guide,N/A\
93,Canoe,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
94,Carolina,Riviera Nayarit,Mexico,4-Star,Forbes Travel Guide,N/A\
95,Caviar Russe,New York City,United States,4-Star,Forbes Travel Guide,N/A\
96,The Charleston Grill,Charleston,United States,4-Star,Forbes Travel Guide,N/A\
97,Chez Muffy,Quebec City,Canada,4-Star,Forbes Travel Guide,N/A\
98,Chez Philippe,Memphis,United States,4-Star,Forbes Travel Guide,N/A\
99,Coastal Kitchen,Monterey,United States,4-Star,Forbes Travel Guide,N/A\
100,Cocina de Autor,Los Cabos,Mexico,4-Star,Forbes Travel Guide,N/A\
101,Colt & Alison,Sea Island,United States,4-Star,Forbes Travel Guide,N/A\
102,CORE Kitchen & Wine Bar,Tucson,United States,4-Star,Forbes Travel Guide,N/A\
103,Cortina,Southwestern Montana,United States,4-Star,Forbes Travel Guide,N/A\
104,Cress on Oak Creek,Sedona,United States,4-Star,Forbes Travel Guide,N/A\
105,Cucina,Hong Kong,China,4-Star,Forbes Travel Guide,N/A\
106,CUT Las Vegas,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
107,CUT Singapore,Singapore,Singapore,4-Star,Forbes Travel Guide,N/A\
108,Cuv\'e9e at Chatham Inn,Cape Cod,United States,4-Star,Forbes Travel Guide,N/A\
109,Deuxave,Boston,United States,4-Star,Forbes Travel Guide,N/A\
110,Dining Room at Inn on Biltmore Estate,Asheville and Highlands,United States,4-Star,Forbes Travel Guide,N/A\
111,Dining Room (SeaDream II),Miami,United States,4-Star,Forbes Travel Guide,N/A\
112,Don Manuel's,Los Cabos,Mexico,4-Star,Forbes Travel Guide,N/A\
113,The Elderberry House,Tahoe and Yosemite,United States,4-Star,Forbes Travel Guide,N/A\
114,Element 47,Aspen,United States,4-Star,Forbes Travel Guide,N/A\
115,Est,Tokyo,Japan,4-Star,Forbes Travel Guide,N/A\
116,FARM,Napa,United States,4-Star,Forbes Travel Guide,N/A\
117,Fearing\'92s Restaurant,Dallas,United States,4-Star,Forbes Travel Guide,N/A\
118,The Fearrington House Restaurant,Raleigh-Durham,United States,4-Star,Forbes Travel Guide,N/A\
119,Fine Cut Steakhouse (Ascent),Miami,United States,4-Star,Forbes Travel Guide,N/A\
120,Florie's,Palm Beach,United States,4-Star,Forbes Travel Guide,N/A\
121,Flybridge,Palm Beach,United States,4-Star,Forbes Travel Guide,N/A\
122,Gaia at Maykana,Riviera Maya,Mexico,4-Star,Forbes Travel Guide,N/A\
123,Garrison,Austin,United States,4-Star,Forbes Travel Guide,N/A\
124,Gary Danko,San Francisco,United States,4-Star,Forbes Travel Guide,N/A\
125,Genting Palace,Las Vegas,United States,4-Star,Forbes Travel Guide,N/A\
126,Geronimo,Santa Fe,United States,4-Star,Forbes Travel Guide,N/A\
127,Glitretind Restaurant,Park City,United States,4-Star,Forbes Travel Guide,N/A\
128,Gramercy Tavern,New York City,United States,4-Star,Forbes Travel Guide,N/A\
129,The Grill Room,New Orleans,United States,4-Star,Forbes Travel Guide,N/A\
130,Hazel Hill,Sonoma,United States,4-Star,Forbes Travel Guide,N/A\
131,H\'e9ritage by Kei Kobayashi,Tokyo,Japan,4-Star,Forbes Travel Guide,N/A\
132,Iggy's,Singapore,Singapore,4-Star,Forbes Travel Guide,N/A\
133,Il Mulino New York,Miami,United States,4-Star,Forbes Travel Guide,N/A\
134,The Immigrant Restaurant at The American Club,Kohler,United States,4-Star,Forbes Travel Guide,N/A\
135,Jean-Georges Shanghai,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
136,Jin Sha,Hangzhou,China,4-Star,Forbes Travel Guide,N/A\
137,Jin Xuan Chinese Restaurant,Shanghai,China,4-Star,Forbes Travel Guide,N/A\
138,Joni Restaurant,Toronto,Canada,4-Star,Forbes Travel Guide,N/A\
139,JORY at The Allison Inn,Willamette Valley,United States,4-Star,Forbes Travel Guide,N/A\
