Id,name,city,country,award,source_list
1,Indian Accent,New Delhi,India,,Conde Nast Traveller India Top 50 2023
2,Bomras,Goa,India,,Conde Nast Traveller India Top 50 2023
3,Masque,Mumbai,India,,Conde Nast Traveller India Top 50 2023
4,Avartana,Chennai,India,,Conde Nast Traveller India Top 50 2023
5,Sienna Store & Café,Kolkata,India,,Conde Nast Traveller India Top 50 2023
6,The Bombay Canteen,Mumbai,India,,Conde Nast Traveller India Top 50 2023
7,O Pedro,Mumbai,India,,Conde Nast Traveller India Top 50 2023
8,Veronica’s,Mumbai,India,,Conde Nast Traveller India Top 50 2023
9,Americano,Mumbai,India,,Conde Nast Traveller India Top 50 2023
10,Izumi Bandra,Mumbai,India,,Conde Nast Traveller India Top 50 2023
11,Bengaluru Oota Company,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
12,Cavatina by Avinash Martins,Goa,India,,Conde Nast Traveller India Top 50 2023
13,Seefah,Mumbai,India,,Conde Nast Traveller India Top 50 2023
14,The Table,Mumbai,India,,Conde Nast Traveller India Top 50 2023
15,For The Record - Vinyl Bar,Goa,India,,Conde Nast Traveller India Top 50 2023
16,Le Cirque Signature,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
17,The Restaurant,Karaikudi,India,,Conde Nast Traveller India Top 50 2023
18,Izumi Assagao,Goa,India,,Conde Nast Traveller India Top 50 2023
19,Bhawan,New Delhi,India,,Conde Nast Traveller India Top 50 2023
20,Comorin,Gurugram,India,,Conde Nast Traveller India Top 50 2023
21,Edible Archives,Goa,India,,Conde Nast Traveller India Top 50 2023
22,Kappa Chakka Kandhari,Chennai,India,,Conde Nast Traveller India Top 50 2023
23,Lupa,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
24,FarmLore,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
25,Jamun,Goa,India,,Conde Nast Traveller India Top 50 2023
26,Olive Bar and Kitchen,New Delhi,India,,Conde Nast Traveller India Top 50 2023
27,La Loca Maria,Mumbai,India,,Conde Nast Traveller India Top 50 2023
28,Karavalli,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
29,Bar Palladio,Jaipur,India,,Conde Nast Traveller India Top 50 2023
30,Falak,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
31,Plats,New Delhi,India,,Conde Nast Traveller India Top 50 2023
32,Wasabi by Morimoto,Mumbai,India,,Conde Nast Traveller India Top 50 2023
33,Baan Thai,Kolkata,India,,Conde Nast Traveller India Top 50 2023
34,Burma Burma Restaurant & Tea Room,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
35,Carnatic Café,New Delhi,India,,Conde Nast Traveller India Top 50 2023
36,Petisco,Goa,India,,Conde Nast Traveller India Top 50 2023
37,Noon,Mumbai,India,,Conde Nast Traveller India Top 50 2023
38,Ekaa,Mumbai,India,,Conde Nast Traveller India Top 50 2023
39,The Glenburn Penthouse Restaurant,Kolkata,India,,Conde Nast Traveller India Top 50 2023
40,Southern Spice,Chennai,India,,Conde Nast Traveller India Top 50 2023
41,Oota Bangalore,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
42,Naru Noodle Bar,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
43,Boteco Restaurante Brasileiro,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
44,Bread and Chocolate,Puducherry,India,,Conde Nast Traveller India Top 50 2023
45,The Johri,Jaipur,India,,Conde Nast Traveller India Top 50 2023
46,Toast & Tonic,Bengaluru,India,,Conde Nast Traveller India Top 50 2023
47,Chinoiserie,Kolkata,India,,Conde Nast Traveller India Top 50 2023
48,Coromandel Cafe,Puducherry,India,,Conde Nast Traveller India Top 50 2023
49,Cafe Lota,New Delhi,India,,Conde Nast Traveller India Top 50 2023
50,Baoshuan,New Delhi,India,,Conde Nast Traveller India Top 50 2023
