ID,Name,City,Country,Award,Source List,Years Featured,Cuisine\
1,Altius,Pittsburgh,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2024, 2025",Contemporary American\
2,Ariana,Bend,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary European\
3,Arrowleaf Bistro,Winthrop,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
4,Babette's Cafe,Atlanta,USA,,OpenTable's Most Romantic Restaurants,2018,French\
5,BakerStreet,Fort Wayne,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
6,Bartolotta's Lake Park Bistro,Milwaukee,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",French\
7,Baxter's Lakeside Grille,Lake Ozark,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",American\
8,Benvenuti's,Norman,USA,,OpenTable's Most Romantic Restaurants,2018,Italian\
9,The Bistro at Gervasi Vineyard,Canton,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2024",Italian\
10,Bistro L'Hermitage,Woodbridge,VA,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2024, 2025",French\
11,Bistro San Martin,Arlington,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
12,Black Cat,Boulder,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",Contemporary American\
13,Bob's Steak & Chop House,Various Locations,USA,,OpenTable's Most Romantic Restaurants,2018,Steakhouse\
14,Bolete Restaurant,Bethlehem,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary American\
15,Bookbinder's Seafood and Steakhouse,Richmond,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019, 2022",Steakhouse\
16,Bouchard Restaurant and Inn,Newport,USA,,OpenTable's Most Romantic Restaurants,2018,Contemporary French\
17,Caf\'e9 Monarch,Scottsdale,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2023, 2024, 2025",Contemporary American\
18,Cafe Provence,Prairie Village,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2024",French American\
19,Caprice Bistro,Wilmington,USA,,OpenTable's Most Romantic Restaurants,"2018, 2019",French\
20,Carlo & Johnny,Cincinnati,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2020, 2022, 2023, 2024, 2025",Steakhouse\
21,Chandlers Steakhouse,Boise,USA,,OpenTable's Top 100 Romantic Restaurants,"2018, 2019, 2022, 2024, 2025",Steakhouse\
