Name,City,Country,Cuisine,Awards,Source Lists
,,,,,
Avartana,Chennai,India,,,
The Table,Mumbai,India,,,
Indian Accent,New Delhi,India,,,
Masque,Mumbai,India,,,
Bomras,Goa,India,,,
Olive Bar and Kitchen,New Delhi,India,,,
NAAR,Kasauli,India,,,
Cavatina By Avinash Martins,Goa,India,,,
Bandra Born,Mumbai,India,,,
Izumi Assagao,Goa,India,,,
Petisco Kitchen & Bar,Goa,India,,,
Mizu Izakaya,Mumbai,India,,,
Wasabi by Morimoto,Mumbai,India,,,
INJA,New Delhi,India,,,
Hosa,Goa,India,,,
Avo’s Kitchen,Goa,India,,,
Naru Noodle Bar,Bengaluru,India,,,
Megu,New Delhi,India,,,
O Pedro,Mumbai,India,,,
Wabi Sabi,Bengaluru,India,,,
Seefah,Mumbai,India,,,
Americano,Mumbai,India,,,
The Glenburn Penthouse,Kolkata,India,,,
La Loca Maria,Mumbai,India,,,
The Bombay Canteen,Mumbai,India,,,
Comorin,Gurugram,India,,,
NĀVU,Bengaluru,India,,,
Manam Chocolate Karkhana,Hyderabad,India,,,
Tres,New Delhi,India,,,
Izumi Bandra,Mumbai,India,,,
Lupa,Bengaluru,India,,,
Bengaluru Oota Company,Bengaluru,India,,,
Praça Prazeres,Goa,India,,,
The Second House,Goa,India,,,
Baan Thai,Kolkata,India,,,
Veronica’s,Mumbai,India,,,
Slow Tide,Goa,India,,,
Chinoiserie,Kolkata,India,,,
Karavalli,Bengaluru,India,,,
Bar Spirit Forward,Bengaluru,India,,,
FarmLore,Bengaluru,India,,,
For The Record - Vinyl Bar,Goa,India,,,
The Johri,Jaipur,India,,,
Kappa Chakka Kandhari,Chennai,India,,,
Pumpkin Tales Restaurant & Bakery,Chennai,India,,,
Amoli,Santiniketan,India,,,
Indian Accent,Mumbai,India,,,
Sapa Sourdough & Pastry,Mysuru,India,,,
Bhawan,Gurugram,India,,,
Ukiyo,Pune,India,,,
DON JULIO PARRILLA,BUENOS AIRES,Argentina,Steakhouse,,
MARGARET,SYDNEY,Australia,Steakhouse,,
LAIA ERRETEGIA,HONDARRIBIA,Spain,Steakhouse,,
I DUE CIPPI,SATURNIA,Italy,Steakhouse,,
BURNT ENDS,SINGAPORE,Singapore,Steakhouse,,
BODEGA EL CAPRICHO,JIMÉNEZ DE JAMUZ,Spain,Steakhouse,,
CASA JULIAN DE TOLOSA,TOLOSA,Spain,Steakhouse,,
LANA,MADRID,Spain,Steakhouse,,
AG,STOCKHOLM,Sweden,Steakhouse,,
COTE,NEW YORK,USA,Steakhouse,,
IBAI,LONDON,UK,Steakhouse,,
ROCKPOOL BAR & GRILL,SYDNEY,Australia,Steakhouse,,
ASADOR BASTIAN,CHICAGO,USA,Steakhouse,,
THE GRILL AT THE INTERNATIONAL,SYDNEY,Australia,Steakhouse,,
BORN & BRED,SEOUL,South Korea,Steakhouse,,
FIREDOOR,SYDNEY,Australia,Steakhouse,,
LA TÊTE D’OR,NEW YORK,USA,Steakhouse,,
VICTOR CHURCHILL,MELBOURNE,Australia,Steakhouse,,
CARCASSE,KOKSIJDE,Belgium,Steakhouse,,
PORTEÑO,SYDNEY,Australia,Steakhouse,,
CAPA,COPENHAGEN,Denmark,Steakhouse,,
GILLIS,GENT,Belgium,Steakhouse,,
HAWKSMOOR,LONDON,UK,Steakhouse,,
BRAT,LONDON,UK,Steakhouse,,
LA BRASERIA,OSIO SOTTO,Italy,Steakhouse,,
ELISA,VANCOUVER,Canada,Steakhouse,,
NIKUYA TANAKA,TOKYO,Japan,Steakhouse,,
LOS 33,MADRID,Spain,Steakhouse,,
REGINA BISTECCA,FLORENCE,Italy,Steakhouse,,
TRIBUTO,QUITO,Ecuador,Steakhouse,,
AMAREN,BILBAO,Spain,Steakhouse,,
THE GIDLEY,SYDNEY,Australia,Steakhouse,,
BEEFBAR,MONACO,Monaco,Steakhouse,,
ANAHI,PARIS,France,Steakhouse,,
FOGÓN,BUENOS AIRES,Argentina,Steakhouse,,
AALIA,SYDNEY,Australia,Steakhouse,,
STEER DINING ROOM,MELBOURNE,Australia,Steakhouse,,
11WOODFIRE,DUBAI,UAE,Steakhouse,,
LUTYENS GRILL,LONDON,UK,Steakhouse,,
MIYOSHI,KYOTO,Japan,Steakhouse,,
ARAGAWA,LONDON,UK,Steakhouse,,
CLOVER GRILL,PARIS,France,Steakhouse,,
GWEN,LOS ANGELES,USA,Steakhouse,,
4 CHARLES PRIME RIB,NEW YORK,USA,Steakhouse,,
GIMLET,MELBOURNE,Australia,Steakhouse,,
KITAN-IN,OSAKA,Japan,Steakhouse,,
KNIFE,DALLAS,USA,Steakhouse,,
ASADOR NICOLÁS,TOLOSA,Spain,Steakhouse,,
NIKU STEAKHOUSE,SAN FRANCISCO,USA,Steakhouse,,
FIRESIDE,HONG KONG,China,Steakhouse,,
SHELL HOUSE,SYDNEY,Australia,Steakhouse,,
JEFFREY’S,AUSTIN,USA,Steakhouse,,
BISTECCA TUSCAN STEAKHOUSE,SINGAPORE,Singapore,Steakhouse,,
KOKI,HANOI,Vietnam,Steakhouse,,
BLOK,SOUTH WALES,UK,Steakhouse,,
ELENA,BUENOS AIRES,Argentina,Steakhouse,,
MATILDA 159 DOMAIN,MELBOURNE,Australia,Steakhouse,,
KEENS,NEW YORK,USA,Steakhouse,,
CUT BY WOLFGANG PUCK,SINGAPORE,Singapore,Steakhouse,,
THE BAZAAR,NEW YORK,USA,Steakhouse,,
CHAR FUEGO Y BRASAS,TENERIFE,Spain,Steakhouse,,
THE CUT BAR & GRILL,SYDNEY,Australia,Steakhouse,,
MINETTA TAVERN,NEW YORK,USA,Steakhouse,,
GRILL ROYAL,BERLIN,Germany,Steakhouse,,
BEEF & GLORY,VIENNA,Austria,Steakhouse,,
SHATŌBURIAN,SINGAPORE,Singapore,Steakhouse,,
HOLSTEINS,MEXICO,Mexico,Steakhouse,,
FIREWOOD,GEORGE TOWN,Malaysia,Steakhouse,,
PRIME + PROPER,DETROIT,USA,Steakhouse,,
THE DEVONSHIRE,LONDON,UK,Steakhouse,,
SWIFT & SONS,CHICAGO,USA,Steakhouse,,
THE GRAND BAR & GRILL,HELSINKI,Finland,Steakhouse,,
GALLAGHERS,NEW YORK,USA,Steakhouse,,
MAVEN,ANTWERP,Belgium,Steakhouse,,
AMERICAN CUT,NEW YORK,USA,Steakhouse,,
JACOBS & CO STEAKHOUSE,TORONTO,Canada,Steakhouse,,
BAVETTE´S STEAK HOUSE,CHICAGO,USA,Steakhouse,,
IZZY’S STEAKS & CHOPS,SAN FRANCISCO,USA,Steakhouse,,
BEEF,KYIV,Ukraine,Steakhouse,,
THE STEAK HOUSE,HONG KONG,China,Steakhouse,,
SALA DE CORTE,LISBON,Portugal,Steakhouse,,
WILLIAMS BUTCHERS TABLE,ZURICH,Switzerland,Steakhouse,,
NIKU KAPPŌ JŌ,TOKYO,Japan,Steakhouse,,
NURI STEAKHOUSE,DALLAS,USA,Steakhouse,,
PORTER & RYE,GLASGOW,UK,Steakhouse,,
OKADAMAE,TOKYO,Japan,Steakhouse,,
VUUR,STELLENBOSCH,South Africa,Steakhouse,,
GAGE & TOLLNER,NEW YORK,USA,Steakhouse,,
GUINEA GRILL,LONDON,UK,Steakhouse,,
MEATGUY STEAKHOUSE,JAKARTA,Indonesia,Steakhouse,,
MEATMAIDEN,MELBOURNE,Australia,Steakhouse,,
GRILL AMERICANO,MELBOURNE,Australia,Steakhouse,,
20 CHAPEL,SYDNEY,Australia,Steakhouse,,
FIFE LANE,MOUNT MAUNGANUI,New Zealand,Steakhouse,,
HERMANOS,BUENOS AIRES,Argentina,Steakhouse,,
FUKUTATEI THE UKAI,OSAKA,Japan,Steakhouse,,
THE BLOCKMAN,JOHANNESBURG,South Africa,Steakhouse,,
SUGITA,TOKYO,Japan,Steakhouse,,
BISTECCA,SYDNEY,Australia,Steakhouse,,
WAGYUMAFIA STEAKHOUSE,TOKYO,Japan,Steakhouse,,
BRUTUS TAVE,AMSTERDAM,Netherlands,Steakhouse,,
ES:SENZ,,,"Creative, Modern Cuisine",,
Tohru in der Schreiberei,,,"Modern Cuisine, Japanese Contemporary",,
Schwarzwaldstube,,,"Classic French, Creative",,
Victor's Fine Dining by christian bau,,,"Creative, Contemporary",,
Aqua,,,"Creative, Modern Cuisine; Seafood",,
schanz. restaurant.,,,"Modern French, Creative",,
Restaurant Haerlin,,,"Creative French, Classic Cuisine",,
The Table Kevin Fehling,,,"Creative, International",,
Waldhotel Sonnora,,,Classic French,,
JAN,,,"Creative, Modern Cuisine",,
Restaurant Bareiss,,,Classic French,,
Rutz,,,"Modern Cuisine, Creative",,
Maaemo,,,"Modern Cuisine, Creative",,
RE-NAA,,,"Creative, Seafood",,
Frantzén,,,Creative,,
noma,,,Creative,,
Jordnær,,,Creative,,
Geranium,,,"Creative, Contemporary",,
Hiša Franko,,,"Creative, Regional Cuisine",,
Trèsind Studio,,,Indian,,
Grande Étoile,,,"Modern Cuisine, French",,
Goldener Engel,,,Regional Cuisine,,
Chiemgauhof,,,"Farm to table, Regional Cuisine",,
Chefs Atelier,,,"Creative, Seasonal Cuisine",,
FZN by Björn Frantzén,,,Modern Cuisine,,
Boury,,,Creative French,,
Zilte,,,Creative,,
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,,,"Mediterranean Cuisine, Modern Cuisine",,
L'Ambroisie,,,Classic Cuisine,,
Flocons de Sel,,,Modern Cuisine,,
Épicure,,,Modern Cuisine,,
Arpège,,,Creative,,
Le Pré Catelan,,,"Creative, Contemporary",,
Le Cinq,,,Modern Cuisine,,
Le Petit Nice,,,Seafood,,
Kei,,,"Modern Cuisine, Creative",,
L'Oustau de Baumanière,,,Creative,,
Plénitude - Cheval Blanc Paris,,,Creative,,
AM par Alexandre Mazzia,,,Creative,,
Pic,,,Creative,,
Maison Lameloise,,,Modern Cuisine,,
Le Coquillage,,,"Creative, Seafood",,
Restaurant Marcon,,,Creative,,
Pierre Gagnaire,,,Creative,,
La Vague d'Or - Cheval Blanc St-Tropez,,,Creative,,
Christopher Coutanceau,,,"Seafood, Modern Cuisine",,
Troisgros - Le Bois sans Feuilles,,,Creative,,
La Marine,,,"Creative, Seafood",,
Le Clos des Sens,,,Creative,,
La Villa Madie,,,Creative,,
Assiette Champenoise,,,Creative,,
Mirazur,,,Creative,,
Les Prés d'Eugénie - Michel Guérard,,,Classic Cuisine,,
Auberge du Vieux Puits,,,Creative,,
Alléno Paris au Pavillon Ledoyen,,,Creative,,
Le 1947 à Cheval Blanc,,,Creative,,
HAJIME,,,Innovative,,
Taian,,,Japanese,,
Mizai,,,Japanese,,
Gion Sasaki,,,Japanese,,
Isshisoden Nakamura,,,Japanese,,
Kashiwaya Osaka Senriyama,,,Japanese,,
Hyotei,,,Japanese,,
Kikunoi Honten,,,Japanese,,
Ta Vie,,,Innovative,,
Caprice,,,French Contemporary,,
Robuchon au Dôme,,,French Contemporary,,
T'ang Court,,,Cantonese,,
Sushi Shikon,,,Sushi,,
Jade Dragon,,,Cantonese,,
8 1/2 Otto e Mezzo - Bombana,,,Italian,,
Forum,,,Cantonese,,
Amber,,,French Contemporary,,
Mingles,,,Korean,,
L'Enclume,,,Creative British,,
Alain Ducasse at The Dorchester,,,French,,
Hélène Darroze at The Connaught,,,Modern Cuisine,,
Restaurant Gordon Ramsay,,,French,,
Fat Duck,,,Creative,,
Waterside Inn,,,Classic French,,
"Sketch, The Lecture Room and Library",,,Modern French,,
The Ledbury,,,Modern Cuisine,,
Moor Hall,,,Modern British,,
CORE by Clare Smyth,,,Modern British,,
Steirereck im Stadtpark,,,"Creative, Contemporary",,
Amador,,,"Creative, Contemporary",,
Jungsik New York,,,"Korean, Contemporary",,
Per Se,,,"Contemporary, French",,
Le Bernardin,,,Seafood,,
Eleven Madison Park,,,"Vegan, Innovative",,
Masa,,,"Japanese, Sushi",,
The Inn at Little Washington,,,"American, French",,
Smyth,,,"Contemporary, Creative",,
Alinea,,,"Creative, Modern Cuisine",,
Sorn,,,Southern Thai,,
Azurmendi,,,Creative,,
Aponiente,,,"Creative, Innovative",,
DiverXO,,,Creative,,
Noor,,,Creative,,
Cenador de Amós,,,Modern Cuisine,,
Quique Dacosta,,,Creative,,
Atrio,,,Creative,,
Casa Marcial,,,"Creative, Asturian",,
El Celler de Can Roca,,,Creative,,
Akelaŕe,,,"Creative, Traditional Cuisine",,
Martín Berasategui,,,Creative,,
Lasarte,,,Creative,,
ABaC,,,Creative,,
Disfrutar,,,Creative,,
Arzak,,,"Creative, Traditional Cuisine",,
Cocina Hermanos Torres,,,Creative,,
Taian Table,,,Innovative,,
Casa Perbellini 12 Apostoli,,,"Creative, Contemporary",,
Le Calandre,,,"Creative, Contemporary",,
Enrico Bartolini al Mudec,,,Creative,,
Uliassi,,,"Creative, Seafood",,
Enoteca Pinchiorri,,,"Italian Contemporary, Creative",,
Atelier Moessmer Norbert Niederkofler,,,"Creative, Alpine",,
Villa Crespi,,,"Creative, Mediterranean Cuisine",,
Quattro Passi,,,"Mediterranean Cuisine, Contemporary",,
La Pergola,,,"Mediterranean Cuisine, Contemporary",,
Reale,,,"Modern Cuisine, Creative",,
Da Vittorio,,,"Italian Contemporary, Classic Cuisine",,
Osteria Francescana,,,Creative,,
Dal Pescatore,,,Italian Contemporary,,
Piazza Duomo,,,"Creative, Seasonal Cuisine",,
Schloss Schauenstein,,,"Creative, Country cooking",,
Restaurant de l'Hôtel de Ville,,,"Classic French, Seasonal Cuisine",,
Sven Wassmer Memories,,,"Creative, Farm to table",,
Cheval Blanc by Peter Knogl,,,Classic French,,
Kanda,,,Japanese,,
Azabu Kadowaki,,,Japanese,,
Kohaku,,,Japanese,,
SÉZANNE,,,"French, Contemporary",,
Harutaka,,,Sushi,,
L'OSIER,,,"French, French Contemporary",,
Kagurazaka Ishikawa,,,Japanese,,
RyuGin,,,Japanese,,
L'Effervescence,,,"French, Contemporary",,
Joël Robuchon,,,"French, Contemporary",,
Quintessence,,,"French, Contemporary",,
Sazenka,,,Chinese,,
Xin Rong Ji (Xinyuan South Road),,,Taizhou,,
Chao Shang Chao (Chaoyang),,,Chao Zhou,,
De Librije,,,Modern Cuisine,,
Taïrroir,,,Taiwanese contemporary,,
JL STUDIO,,,"Singaporean, Contemporary",,
Le Palais,,,Cantonese,,
Zén,,,European Contemporary,,
Odette,,,French Contemporary,,
Les Amis,,,French,,
Le Gabriel - La Réserve Paris,,,Creative,,
La Table du Castellet,,,Creative,,
ATAMA by Martin Stopp,,,"Creative, Contemporary",,
IKIGAI,,,"Modern Cuisine, Creative",,
Ox & Klee,,,"Modern Cuisine, Creative",,
Gotthardt's by Yannick Noack,,,"Modern Cuisine, Creative",,
OPUS V,,,"Modern Cuisine, Creative",,
Ophelia,,,"Creative French, International",,
Tantris,,,"French Contemporary, Classic Cuisine",,
Alois - Dallmayr Fine Dining,,,"Creative, Modern Cuisine",,
sein,,,"Modern Cuisine, Creative",,
Intense,,,"Fusion, Creative",,
Jante,,,"Creative, Modern Cuisine",,
Votum,,,"Creative, Modern Cuisine",,
100/200 Kitchen,,,"Creative, Modern Cuisine",,
Le Cerf,,,Classic French,,
Hirschen,,,"Creative, Seasonal Cuisine",,
LOUIS restaurant,,,"Creative, Modern French",,
Oswald's Gourmetstube,,,"Modern French, Contemporary",,
Gourmetrestaurant Dichter,,,"Modern Cuisine, Creative French",,
Le Pavillon,,,"Classic French, Seasonal Cuisine",,
Ösch Noir,,,"Modern Cuisine, Classic Cuisine",,
Coeur D'Artichaut,,,"Modern French, Creative",,
Pietsch,,,"Creative, Asian Contemporary",,
PUR,,,"Farm to table; Modern Cuisine, Contemporary",,
AURA by Alexander Herrmann & Tobias Bätz,,,"Creative, Modern Cuisine",,
Courtier,,,"Creative, Classic Cuisine",,
ammolite - The Lighthouse Restaurant,,,"Modern Cuisine, Classic French",,
GästeHaus Klaus Erfort,,,Classic French,,
Esplanade,,,"Classic Cuisine, Creative",,
Essigbrätlein,,,"Innovative, Farm to table",,
Lakeside,,,Modern Cuisine,,
Lafleur,,,"Modern French, Creative",,
Söl'ring Hof,,,"Modern Cuisine, Creative",,
Speisemeisterei,,,"Creative, Innovative",,
Steinheuers Restaurant,,,"Classic French, Classic Cuisine",,
Obendorfers Eisvogel,,,"Creative, Contemporary",,
Meierei Dirk Luther,,,Classic Cuisine,,
CODA Dessert Dining,,,"Creative, Innovative",,
Tim Raue,,,"Asian, German",,
Vendôme,,,"Creative, Classic French",,
bianc,,,"Mediterranean Cuisine, Creative",,
L.A. Jordan,,,"Creative, Modern Cuisine",,
Horváth,,,Creative,,
FACIL,,,"Creative, Contemporary",,
AUGUST,,,Creative; Meats and Grills,,
KOMU,,,"Classic Cuisine, Modern Cuisine",,
Atelier,,,"Creative French, Seasonal Cuisine",,
etz,,,"Creative, Regional Cuisine",,
PAZ,,,Creative,,
Alchemist,,,Creative,,
Aloë,,,Creative,,
a|o|c,,,Creative,,
Signum,,,Creative,,
Koan,,,Creative,,
AIRA,,,"Modern Cuisine, Swedish",,
Frederikshøj,,,Creative,,
Kadeau Copenhagen,,,Creative,,
Kong Hans Kælder,,,"Modern French, Seasonal Cuisine",,
Vollmers,,,Contemporary,,
Kontrast,,,Scandinavian,,
Palace,,,Modern Cuisine,,
Henne Kirkeby Kro,,,Classic Cuisine,,
Milka,,,"Creative, Regional Cuisine",,
Bottiglieria 1881,,,Creative,,
Pujol,,,"Mexican, Modern Cuisine",,
Quintonil,,,"Mexican, Contemporary",,
STAY by Yannick Alléno,,,French,,
Il Ristorante-Niko Romito,,,Italian,,
Row on 45,,,Creative,,
Tanière³,,,Creative,,
akordu,,,Innovative,,
Oryori Hanagaki,,,Japanese,,
Tsukumo,,,Japanese,,
NARA NIKON,,,Japanese,,
Oro,,,Creative,,
Evvai,,,"Modern Cuisine, Brazilian",,
D.O.M.,,,Creative,,
Lasai,,,"Modern Cuisine, Innovative",,
Tuju,,,Creative,,
Ru Yuan,,,Zhejiang,,
Maison Colette,,,"French, Modern Cuisine",,
Hertog Jan at Botanic,,,"Creative, Asian Influences",,
La Table de Maxime,,,"Modern Cuisine, French",,
L'air du temps,,,"Creative, Modern Cuisine; Modern Cuisine",,
L'Eau Vive,,,"Modern French, Modern Cuisine",,
Sir Kwinten,,,Modern Cuisine,,
Slagmolen,,,"Traditional Cuisine, French",,
d'Eugénie à Emilie,,,"Classic French, Traditional Cuisine",,
De Jonkman,,,Creative,,
Cuchara,,,"Creative, Modern Cuisine",,
La Durée,,,"Creative, Modern Cuisine",,
Ma Langue Sourit,,,Modern Cuisine,,
Léa Linster,,,Modern French,,
Vrijmoed,,,"Creative, Modern Cuisine",,
Bozar Restaurant,,,"Modern French, Creative",,
Nuance,,,Creative,,
Castor,,,Modern French,,
Ralf Berendsen,,,"Creative, Modern French",,
Bartholomeus,,,Modern Cuisine,,
Hof van Cleve - Floris Van Der Veken,,,Creative,,
Le Chalet de la Forêt,,,"Creative, Modern French",,
La Paix,,,"Asian Influences, Creative",,
L'Atelier de Joël Robuchon Miami,,,"French, Contemporary",,
Sorekara,,,"Japanese, Contemporary",,
Aramburu,,,Creative,,
Rozó,,,"Creative, Modern Cuisine",,
Villa René Lalique,,,"Creative, Modern Cuisine",,
Le Jules Verne,,,Modern Cuisine,,
Marsan par Hélène Darroze,,,Modern Cuisine,,
David Toutain,,,Creative,,
L'Abysse Monte-Carlo,,,Japanese,,
Le Taillevent,,,Classic Cuisine,,
Palais Royal Restaurant,,,"Creative, Modern Cuisine",,
Maison Aribert,,,"Creative, Modern Cuisine",,
Table - Bruno Verjus,,,Modern Cuisine,,
Blue Bay Marcel Ravin,,,Creative,,
L'Orangerie,,,Modern Cuisine,,
Le Grand Restaurant - Jean-François Piège,,,Creative,,
Guy Savoy,,,Modern Cuisine,,
Restaurant Le Meurice Alain Ducasse,,,Creative,,
Relais de la Poste,,,Classic Cuisine,,
Paul Bocuse,,,Classic Cuisine,,
Takao Takano,,,Creative,,
Mère Brazier,,,Classic Cuisine,,
Le Pré - Xavier Beaudiment,,,Creative,,
JY'S,,,Creative,,
Serge Vieira,,,Creative,,
Sushi Yoshinaga,,,Japanese,,
Le Neuvième Art,,,"Creative, Modern Cuisine",,
Le Sarkara,,,Creative,,
Bras,,,Creative,,
Le Skiff Club,,,Modern Cuisine,,
La Table des Amis,,,Modern Cuisine,,
Maison Benoît Vidal,,,Creative,,
Jean Sulpice,,,Creative,,
Duende,,,Modern Cuisine,,
Py-r,,,Creative,,
La Scène,,,Modern Cuisine,,
Les Ambassadeurs by Christophe Cussac,,,"Modern Cuisine, Mediterranean Cuisine",,
Les Morainières,,,"Creative, Modern Cuisine",,
La Pyramide - Maison Henriroux,,,Modern Cuisine,,
Cédric Burtin,,,"Creative, Modern Cuisine",,
La Merise,,,Modern Cuisine,,
L'Abysse au Pavillon Ledoyen,,,"Japanese, Creative",,
Racine,,,Creative,,
Michel Kayser - Restaurant Alexandre,,,Modern Cuisine,,
L'Oiseau Blanc,,,Creative,,
Maison Nouvelle,,,Modern Cuisine,,
La Côte Saint-Jacques,,,Modern Cuisine,,
La Table de Pavie,,,Creative,,
Blanc,,,Creative,,
La Table de Franck Putelat,,,"Modern Cuisine, Creative",,
La Table de Yoann Conte,,,Creative,,
Auberge de l'Ill,,,Classic Cuisine,,
La Table d'Olivier Nasti,,,Creative,,
Anne de Bretagne,,,Creative,,
L'Auberge des Glazicks,,,Creative,,
Ekaitza,,,"Creative, Modern Cuisine",,
L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,,,Modern Cuisine,,
René et Maxime Meilleur,,,"Creative, Regional Cuisine",,
Cyril Attrazic,,,"Creative, Modern Cuisine",,
La Villa Archange,,,Modern Cuisine,,
L'Auberge de Montmin,,,Creative,,
Maison Rostang,,,Classic Cuisine,,
Lalique,,,Modern Cuisine,,
Christophe Hay - Fleur de Loire,,,"Modern Cuisine, Creative",,
La Grand'Vigne - Les Sources de Caudalie,,,Modern Cuisine,,
L'Observatoire du Gabriel,,,"Modern Cuisine, Creative",,
Maison Ronan Kervarrec,,,Modern Cuisine,,
La Voile - La Réserve Ramatuelle,,,Modern Cuisine,,
La Grenouillère,,,Creative,,
Château de Beaulieu - Christophe Dufossé,,,Modern Cuisine,,
Le Pressoir d'Argent - Gordon Ramsay,,,Modern Cuisine,,
Le Parc Les Crayères,,,Modern Cuisine,,
Georges Blanc,,,Classic Cuisine,,
Sylvestre Wahid - Les Grandes Alpes,,,Creative,,
Flaveur,,,Creative,,
Le Clarence,,,Creative,,
La Table Lionel Giraud,,,"Creative, Modern Cuisine",,
La Côte d'Or,,,Modern Cuisine,,
William Frachot,,,"Modern Cuisine, Creative",,
La Fourchette des Ducs,,,Modern Cuisine,,
Baumanière 1850,,,Creative,,
Casadelmar,,,Modern Cuisine,,
Le Chabichou by Stéphane Buron,,,Modern Cuisine,,
La Chèvre d'Or,,,Creative,,
La Cime,,,"French, Contemporary",,
Miyamoto,,,Japanese,,
Fujiya 1935,,,Innovative,,
